gfa,segments
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/val/mg.100015/seq_1073-0087-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/val/mg.100015/seq_1065-0038-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/val/mg.100015/seq_1064-0003-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/val/mg.100015/seq_1057-0070-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/val/mg.100015/seq_1052-0030-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/val/mg.100012/seq_1079-0025-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/val/mg.100012/seq_1070-0067-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/val/mg.100012/seq_1069-0093-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/val/mg.100012/seq_1068-0050-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/val/mg.100012/seq_1058-0085-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/train/mg.00133/seq_1095-0099-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/train/mg.00133/seq_1091-0074-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/train/mg.00133/seq_1071-0099-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/train/mg.00133/seq_1067-0038-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/train/mg.00133/seq_1061-0015-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/train/mg.00125/seq_1074-0094-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/train/mg.00125/seq_1063-0006-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/train/mg.00125/seq_1060-0055-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/train/mg.00125/seq_1057-0012-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/20260522_013319/generated/paper_pipeline_cache/train/mg.00125/seq_1056-0013-#1#1.gfa,80
/home/shora/Research/qpg/results/overnight_dynaco_paper/paper_pipeline_online_20260522_005807/generated/paper_pipeline_cache/train/mg.00022/seq_1082-0075-#1#1.gfa,79
/home/shora/Research/qpg/results/overnight_dynaco_paper/paper_pipeline_online_20260522_005807/generated/paper_pipeline_cache/train/mg.00022/seq_1079-0006-#1#1.gfa,79
/home/shora/Research/qpg/results/overnight_dynaco_paper/paper_pipeline_online_20260522_005807/generated/paper_pipeline_cache/train/mg.00022/seq_1063-0084-#1#1.gfa,79
/home/shora/Research/qpg/results/overnight_dynaco_paper/paper_pipeline_online_20260522_005807/generated/paper_pipeline_cache/train/mg.00022/seq_1058-0026-#1#1.gfa,79
